version_date,title,brief,keyword,url
2022-05-29 20:38:02,塞尔维亚总统与俄罗斯总统通话 达成新的天然气协议,当地时间5月29日上午，塞尔维亚总统武契奇与俄罗斯总统普京进行了电话会谈。随后武契奇表示，双方谈到了多个话题，最重要的是达成了新的为期三年的天然气协议。,塞尔维亚 天然气,https://news.cctv.com/2022/05/29/ARTIxLinhjj25THOQSfx18mV220529.shtml
2022-05-29 20:27:31,埃尔多安称土耳其与瑞典和芬兰谈判未达到预期 将分别与俄乌领导人通电话,据土耳其半官方通讯社阿纳多卢通讯社当地时间29日报道，土耳其总统28日表示，土耳其与芬兰、瑞典代表团有关两国加入北约的磋商“没有达到预期水平”。,埃尔多安 土耳其,https://news.cctv.com/2022/05/29/ARTIdQLOM1XP9GuaEU3zQ9qe220529.shtml
2022-05-29 20:25:20,美德法军舰抵达芬兰赫尔辛基码头,据芬兰广播公司当地时间5月29日消息，来自美国、德国和法国的四艘军舰已抵达芬兰赫尔辛基码头，其中美国和德国军舰参加了在波罗的海的演习。芬兰海军军官向媒体表示，芬兰已申请加入北约，三国军舰的这次访问是对芬兰表示支持。,军舰 美德法,https://news.cctv.com/2022/05/29/ARTINLeqnfBqquB7ibywVeeu220529.shtml
2022-05-29 19:55:58,外媒：载22人失联尼泊尔客机已在当地河口坠毁,据《今日印度》29日消息，当天上午，一架从尼泊尔中部博克拉市飞往该国西北部木斯塘地区乔姆瑟姆机场的客机失联，目前飞机在尼泊尔木斯塘地区被发现。,尼泊尔 失联,https://news.cctv.com/2022/05/29/ARTI3JA4cCLtP3vsBL7lje21220529.shtml
2022-05-29 16:41:27,福岛核电站周边图书馆时隔11年重开：曾受严重核污染 免费送书后将被拆,据日本《每日新闻》29日消息，距日本福岛核电站仅3公里的“大熊町图书馆·民俗传承馆”27日在福岛核事故后首次重新开放，并免费给居民送藏书。,核污染 图书馆,https://news.cctv.com/2022/05/29/ARTIbrDuY26seEwcbre6l9pe220529.shtml
2022-05-29 16:41:05,恶劣校园枪击案也无法阻拦年会召开 为何美国全国步枪协会如此强大？,导致21人死亡的罗布小学大规模枪击事件于24日发生在得克萨斯州尤瓦尔迪市，而极尽讽刺的是，就在仅仅3天后，也就是27日，在仅四小时车程外的休斯敦，美国全国步枪协会如期举行年会。,美国 校园枪击案 步枪协会,https://news.cctv.com/2022/05/29/ARTIL5qynUG0KEDq0L9vMziH220529.shtml
2022-05-29 16:39:10,校园枪击惨案后这个协会照常年会 美媒：美国枪支问题在于政治腐败,当地时间27日，美国全国步枪协会（NRA）年会在休斯敦如期举行。而在3天前，刚刚发生导致21人死亡的得州尤瓦尔迪市罗伯小学大规模枪击事件。,美国 枪击事件 校园 政治腐败,https://news.cctv.com/2022/05/29/ARTIgIUwoXU9aQOLuUpRs19k220529.shtml
2022-05-29 16:24:23,卢甘斯克地区军事行政长官称北顿涅茨克仍处于乌克兰控制之下,当地时间5月29日，据乌克兰UNIAN通讯社援引卢甘斯克地区军事行政长官谢尔盖·盖代消息，北顿涅茨克仍处于乌克兰控制之下。当地时间28日，俄罗斯车臣领导人卡德罗夫通过社交媒体表示，俄军已控制北顿涅茨克。,北顿涅茨克 卢甘斯克,https://news.cctv.com/2022/05/29/ARTIoMGiqwyQDKnNNpRkwleb220529.shtml
2022-05-29 15:39:12,日本本州东岸近海发生5.1级地震,中国地震台网正式测定：05月29日14时55分，在日本本州东岸近海（北纬36.25度，东经141.0度）发生5.1级地震，震源深度50公里。,本州 震源深度,https://news.cctv.com/2022/05/29/ARTIvTRpOJkt1O2BKDArdkqT220529.shtml
2022-05-29 15:28:53,尼泊尔一架小型客机失联 机上共有22人,据尼泊尔媒体报道，当地时间29日上午9时55分，一架从尼泊尔中部博卡拉市飞往该国西北部木斯塘地区乔姆瑟姆机场（Jomsom）的客机失联。,尼泊尔 失联,https://news.cctv.com/2022/05/29/ARTIwtwiKpRKr6nXtma2GbFX220529.shtml
